                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0963,                 2.9094,                0.89231,                0.83166,                0.73667,                0.83062,                0.56383,                0.99368,                 1.1208,                0.84982,              0.0004078,              0.0004078,              0.0004078
                      2,                0.97826,                0.90678,                0.84723,                0.91613,                 0.8136,                0.92396,                0.67061,                0.88176,                0.68094,                0.83462,             0.00055239,             0.00055239,             0.00055239
                      3,                0.86762,                0.71115,                0.83298,                0.94309,                0.88369,                0.95083,                0.71691,                0.79666,                0.56944,                0.81698,             0.00042199,             0.00042199,             0.00042199
